0,1,2
16121,1612*,161**
16122,1612*,161**
16123,1612*,161**
16124,1612*,161**
16125,1612*,161**
16126,1612*,161**
16127,1612*,161**
16128,1612*,161**
16129,1612*,161**
16130,1613*,161**
16131,1613*,161**
16132,1613*,161**
16133,1613*,161**
16134,1613*,161**
16135,1613*,161**
16136,1613*,161**
16137,1613*,161**
16138,1613*,161**
16139,1613*,161**
16140,1614*,161**
16141,1614*,161**
16142,1614*,161**
16143,1614*,161**
16144,1614*,161**
16145,1614*,161**
16146,1614*,161**
16147,1614*,161**
16148,1614*,161**
16149,1614*,161**
16150,1615*,161**
16151,1615*,161**
16152,1615*,161**
16153,1615*,161**
16154,1615*,161**
16155,1615*,161**
16156,1615*,161**
16157,1615*,161**
16158,1615*,161**
16159,1615*,161**
16160,1616*,161**
16161,1616*,161**
16162,1616*,161**
16163,1616*,161**
16164,1616*,161**
16165,1616*,161**
16166,1616*,161**
16167,1616*,161**
